source_file,run_name,id,category,prompt_length_words,generation_length_words,length_bucket,feature_clipping_enabled,feature_clip_layer,feature_clip_tokens_collected,perplexity,energy,entropy,lexical_similarity,eigenIndicator,eigenIndicatorOutput
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4506,summarization,136,43,long_100_plus,False,,0,0.3372100890623252,-15.802119314670563,0.15610614781279764,0.14644255150698834,-1.9347667616901814,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4541,summarization,243,53,long_100_plus,False,,0,0.2860350627964019,-16.83797287940979,0.16282687822263703,0.16416910620258013,-1.9398817995365625,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6293,rationalization_binary,166,51,long_100_plus,False,,0,0.16251657766703986,-14.681244522333145,0.050607621210463416,0.7138722719680874,-2.570306210942204,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4529,summarization,223,0,long_100_plus,False,,0,1.5703138259438136,-10.837509155273438,0.34752753141122045,0.2374999581560101,-2.2791116958737,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4064,summarization,283,14,long_100_plus,False,,0,0.6880669649373661,-14.974669196388938,0.303850406649536,0.1309178012822928,-1.9207486489244439,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4031,summarization,304,53,long_100_plus,False,,0,1.2052392526980773,-13.7016581594944,0.2213526622618866,0.17160579408719498,-1.9806574057577007,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4005,summarization,198,50,long_100_plus,False,,0,0.1152342786448777,-18.271247640252113,0.2778067497568379,0.17141637592438788,-2.05033457132635,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4299,summarization,233,52,long_100_plus,False,,0,0.15037479473402277,-17.908409237861633,0.0880177843755952,0.2987712462123361,-2.21565404474061,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4570,summarization,234,47,long_100_plus,False,,0,0.23125673559954105,-17.216858863830566,0.12449474435722004,0.3443659293579986,-2.0293262555747784,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4693,summarization,309,45,long_100_plus,False,,0,0.09321749638726039,-19.880190521478653,0.2716651416978296,0.18301329551084283,-2.263401733809304,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6509,rationalization_binary,166,51,long_100_plus,False,,0,0.1726660910061444,-14.668745547533035,0.05744841584099377,0.7672619924046921,-2.42054443878144,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4128,summarization,270,55,long_100_plus,False,,0,1.077940089077852,-13.124460995197296,0.38195534932238606,0.1336217807867298,-2.0580279901134455,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4623,summarization,236,50,long_100_plus,False,,0,0.24266755882534774,-16.823966071009636,0.1330678479594049,0.219461478545085,-2.063776187404258,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6531,rationalization_binary,166,51,long_100_plus,False,,0,0.1677696598581051,-14.637941464781761,0.05133533924192729,0.6820031725786888,-2.3008923957807257,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4312,summarization,233,43,long_100_plus,False,,0,0.2748856572563362,-16.975580766797066,0.1982106375394213,0.16574609113889058,-1.940587091582654,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4319,summarization,196,49,long_100_plus,False,,0,0.8140123051735587,-14.413662135601044,0.26726675716119586,0.13345293024682714,-2.0080467125040746,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4652,summarization,305,43,long_100_plus,False,,0,0.5581902064532311,-15.225460574030876,0.2214005250312972,0.19015124706271094,-1.9850433395636884,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4285,summarization,152,48,long_100_plus,False,,0,0.22428037764002107,-16.269665092229843,0.11735121014540009,0.26251308442628696,-2.1200370584374975,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_5235,summarization,498,48,long_100_plus,False,,0,0.2857181740590303,-17.13802659511566,0.16215798515117483,0.08442787541686757,-1.9400438741735229,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4228,summarization,279,52,long_100_plus,False,,0,0.15407837873981386,-16.346850112080574,0.15543027030944628,0.2451047632360012,-2.192734426634813,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4320,summarization,290,50,long_100_plus,False,,0,0.21601190648268648,-16.52830781042576,0.03538110094641843,0.6852107464527691,-2.386797910059264,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4420,summarization,228,48,long_100_plus,False,,0,0.11252331981531738,-17.137561321258545,0.19556297042781265,0.19487741077527335,-1.9431057217703973,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6273,rationalization_binary,166,51,long_100_plus,False,,0,0.1593798844357537,-14.690100476145744,0.03707537761322635,0.7374313223282948,-2.549322581381953,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4805,summarization,266,54,long_100_plus,False,,0,0.16830417407893677,-16.82957197725773,0.16930170792746693,0.08290694448292811,-1.9473233652986472,
