category,n,mean_EigenScore,std_EigenScore,mean_perplexity,mean_entropy,mean_lexical_similarity,mean_energy
biographies,7,-2.210315344142501,0.07540151236208653,0.9293710636522875,0.4581319694513529,0.13094116879820836,-13.23992363942705
code,9,-1.9751209490947805,0.06826157972338111,0.6070136294411665,0.2736725916009009,0.24280590143256944,-14.720441051655346
falsepresupposition,12,-2.0593252759324794,0.17693201107669398,0.26395759601152025,0.1265762140843381,0.34708778182620953,-16.23443586875995
historicalevents,11,-2.190940691548757,0.12106880953366023,0.8785057356462656,0.38149026454037555,0.15518570589180058,-13.138646534136699
rationalization_binary,32,-2.2956248779729713,0.16346350315657582,0.37515742580077394,0.17544063846199148,0.568147453461337,-15.245610970560284
rationalization_numerical,19,-2.145461027239042,0.08793447124246795,0.6981336912780156,0.3041518977053929,0.1435927094894743,-13.928947907555006
references,22,-2.215431489765663,0.28571860690741974,0.4041068725387174,0.1789059639128009,0.31628731336246585,-13.220907825637948
simplification,8,-2.113345759296349,0.11508848578067526,0.31452264718207906,0.11302447256357187,0.370976448802375,-15.567445581778884
summarization,80,-2.088242862950826,0.1432694808020528,0.49305981039136515,0.22434920448452464,0.21583055019848718,-15.96237024368917
