source_file,run_name,id,category,prompt_length_words,generation_length_words,length_bucket,feature_clipping_enabled,feature_clip_layer,feature_clip_tokens_collected,perplexity,energy,entropy,lexical_similarity,eigenIndicator,eigenIndicatorOutput,answer_similarity,rough_correct,rough_hallucination
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_21,biographies,7,1,short_0_100,True,model.layers.20,1107,1.6267026400374904,-13.294671535491943,0.4484270529936835,0.07310480392320529,-2.129566080197448,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_22,biographies,7,30,short_0_100,True,model.layers.20,1107,0.63758454718399,-19.552654147148132,0.546470256895995,0.108414619047262,-2.17016825750836,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_23,biographies,10,7,short_0_100,True,model.layers.20,1107,1.1412620573837704,-13.802720493740505,0.4420409863700809,0.15975627857980798,-2.4223517821817735,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_24,biographies,7,38,short_0_100,True,model.layers.20,1107,0.7072904063159657,-17.5912014991045,0.47335298607516235,0.09064434572460121,-2.009279311890681,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_25,biographies,8,2,short_0_100,True,model.layers.20,1107,1.23810537035888,-13.894355297088623,0.37208534430950835,0.1877513217752902,-2.1677617113739407,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_26,biographies,7,16,short_0_100,True,model.layers.20,1107,1.6442678525461174,-14.065432635220615,0.5430182807949453,0.08837489859713848,-1.96790059395441,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_27,biographies,7,44,short_0_100,True,model.layers.20,1107,1.0305497943101276,-16.211091816425323,0.48295429533136647,0.14131589710237139,-2.1260631293317767,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_28,biographies,8,3,short_0_100,True,model.layers.20,1107,1.1982491990092077,-14.423509438832602,0.3596379904423917,0.11967632235599988,-1.9641239395352184,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_29,biographies,8,44,short_0_100,True,model.layers.20,1107,0.6903143779834171,-17.827887624502182,0.4310173931446589,0.10824558156492835,-2.0058543326529086,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_30,biographies,7,34,short_0_100,True,model.layers.20,1107,1.2121622922300834,-16.066288366913795,0.4076397602368881,0.1472377528533935,-1.9957272466844167,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_31,biographies,7,41,short_0_100,True,model.layers.20,1107,0.8710874451856407,-17.801263317465782,0.5378344270941015,0.10204438821351972,-2.108373322666874,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_32,biographies,8,63,short_0_100,True,model.layers.20,1107,0.5717106416590341,-16.202447921037674,0.49223382829096424,0.12443761761585337,-2.127688128036431,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_33,biographies,7,1,short_0_100,True,model.layers.20,1107,1.8152492661106612,-13.2332181930542,0.5525748902161132,0.1389022153222685,-2.10915863919128,,,,
halogen_outputs/tinyllama_biographies_100_clip/0.pkl,tinyllama_biographies_100_clip,halogen_34,biographies,7,25,short_0_100,True,model.layers.20,1107,0.5638988567903387,-18.230341762304306,0.7285272259259546,0.1282761959422577,-2.231815523722871,,,,
