category,n,mean_EigenScore,std_EigenScore,mean_perplexity,mean_entropy,mean_lexical_similarity,mean_energy
biographies,682,-2.1361819823028942,0.11913129658204602,1.2112344773930488,0.47992594579023656,0.1371122270386025,-15.082507369399067
code,1085,-2.0863834562801737,0.20747909105954276,0.49456302548477626,0.188517871472782,0.27857252801282995,-18.596943641915434
falsepresupposition,1084,-2.71076544780611,0.09566448994535179,1.230032591015861,0.11327685051422505,0.8075067125672518,-13.647273427885837
historicalevents,1500,-2.2443436241574104,0.16848184330171448,1.3642424180694053,0.5101290078298205,0.24338206024496667,-15.178180646636804
rationalization_binary,1500,-2.2437910951240214,0.10293488569948711,0.5542304678733613,0.1777505587472638,0.44636111456034616,-17.36681016695515
rationalization_numerical,1014,-2.235064646548406,0.15798120983754585,1.7017705452619591,0.4747342005269541,0.20389978576207068,-15.025191327081828
references,1780,-2.4262227501040963,0.3717921397007045,0.735392758383325,0.14511878495418504,0.5559380464461875,-16.352816290124593
simplification,1000,-2.8120825048657205,0.011279472864367557,0.2591228183635611,0.00047972157722513353,0.9986918845492685,-15.723701011657715
summarization,1278,-2.8037295906878525,0.009886776149696769,0.20090045755723776,0.0008700993956599896,0.9981220657276997,-16.070105316866545
